Date,Negative Score,Neutral Score,Positive Score,Compound Score,count
2018/1/3,0.208,3.422,0.37,3.7122,4
2018/1/4,0.198,1.611,0.192,0.7714,2
2018/1/5,0.039,0.853,0.107,0.93,1
2018/1/9,0.02,0.912,0.069,0.973,1
2018/1/10,0.033,1.863,0.104,0.9957,2
2018/1/12,0.114,1.793,0.093,-0.0364,2
2018/1/14,0.045,0.858,0.097,0.9947,1
2018/1/16,0.057,1.703,0.24,1.9862,2
2018/1/19,0.022,0.896,0.081,0.9958,1
2018/1/23,0.092,2.527,0.382,2.9878,3
2018/1/24,0.101,1.734,0.166,1.7624,2
2018/1/25,0.094,2.833,0.073,-0.7821,3
2018/1/27,0.016,0.914,0.07,0.9902,1
2018/1/29,0.004,0.955,0.041,0.9201,1
2018/1/30,0.115,2.632,0.253,2.9716,3
2018/1/31,0.037,0.906,0.056,0.9728,1
2018/2/1,0.098,2.666,0.236,2.774,3
2018/2/2,0.089,1.697,0.214,1.9961,2
2018/2/4,0.035,0.884,0.08,0.9957,1
2018/2/6,0.084,2.679,0.237,2.9669,3
2018/2/7,0.225,3.428,0.348,3.3638,4
2018/2/8,0.192,4.345,0.461,4.9132,5
2018/2/9,0.016,0.846,0.138,0.993,1
2018/2/11,0.016,0.946,0.038,0.9911,1
2018/2/12,0.081,1.755,0.164,1.9886,2
2018/2/22,0.097,2.674,0.231,1.9389,3
2018/2/23,0.028,0.889,0.082,0.9959,1
2018/2/25,0.123,0.752,0.125,0.3587,1
2018/2/26,0.057,1.789,0.154,1.948,2
2018/3/1,0.028,0.861,0.111,0.9898,1
2018/3/2,0.021,0.902,0.077,0.9887,1
2018/3/4,0.039,0.868,0.093,0.999,1
2018/3/6,0.053,0.866,0.081,0.9403,1
2018/3/7,0.071,1.748,0.181,1.9809,2
2018/3/8,0.031,0.912,0.057,0.9224,1
2018/3/9,0.046,0.885,0.069,0.9759,1
2018/3/10,0.064,0.833,0.103,0.9889,1
2018/3/12,0.046,0.863,0.091,0.9912,1
2018/3/13,0.09,2.745,0.164,1.9169,3
2018/3/14,0.204,3.589,0.206,0.6984,4
2018/3/16,0.183,2.573,0.244,2.5415,3
2018/3/18,0.016,0.899,0.085,0.9972,1
2018/3/19,0.054,1.785,0.16,1.9875,2
2018/3/20,0.117,0.804,0.078,-0.9964,1
2018/3/21,0.03,0.899,0.071,0.9904,1
2018/3/22,0.198,2.549,0.253,-0.9826,3
